/home/packager
using /home/packager/.abuild/packager-683ac29a.rsa
1/1570 10/1580 main/perl 5.40.2-r0
2/1570 11/1580 main/perl-json 4.10-r1
3/1570 12/1580 main/perl-b-cow 0.007-r3
4/1570 13/1580 main/perl-clone 0.47-r0
5/1570 14/1580 main/perl-sub-uplevel 0.2800-r6
6/1570 15/1580 main/perl-test-exception 0.43-r4
7/1570 16/1580 main/perl-mail-authenticationresults 2.20231031-r0
8/1570 17/1580 main/perl-sub-name 0.28-r0
9/1570 18/1580 main/ncurses 6.5_p20250503-r0
10/1570 19/1580 main/texinfo 7.2-r0
11/1570 20/1580 main/diffutils 3.12-r0
12/1570 21/1580 main/m4 1.4.19-r3
13/1570 22/1580 main/autoconf 2.72-r0
14/1570 23/1580 main/automake 1.17-r0
15/1570 24/1580 main/help2man 1.49.3-r0
16/1570 25/1580 main/linux-headers 6.14.2-r0
17/1570 26/1580 main/openssl 3.5.0-r0
